incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
11/1/17 23:01,11,1,2017,700,-76.12958236,43.03868425
11/1/17 23:25,11,1,2017,700,-76.12947923,43.03813602
11/1/17 23:56,11,1,2017,100,-76.12812556,43.03828372
11/2/17 0:34,11,2,2017,700,-76.13068259,43.04205641
11/3/17 0:55,11,3,2017,700,-76.13068259,43.04205641
11/3/17 22:08,11,3,2017,700,-76.12891084,43.04089125
11/4/17 1:00,11,4,2017,700,-76.12947923,43.03813602
11/4/17 17:44,11,4,2017,600,-76.12716821,43.03693506
11/4/17 20:21,11,4,2017,700,-76.13068259,43.04205641
11/4/17 22:01,11,4,2017,700,-76.12948339,43.03845519
11/5/17 2:57,11,5,2017,700,-76.13068259,43.04205641
11/5/17 5:56,11,5,2017,700,-76.1243186,43.03384605
11/6/17 22:14,11,6,2017,700,-76.13068259,43.04205641
11/7/17 0:00,11,7,2017,0,0,0
11/8/17 1:35,11,8,2017,600,-76.12115717,43.04150083
11/8/17 2:44,11,8,2017,700,-76.13068259,43.04205641
11/9/17 9:45,11,9,2017,700,-76.12891084,43.04089125
11/9/17 10:30,11,9,2017,700,-76.13068259,43.04205641
11/9/17 22:59,11,9,2017,700,-76.12887011,43.04007454
11/9/17 23:41,11,9,2017,700,-76.13068259,43.04205641
11/10/17 0:06,11,10,2017,700,-76.12947923,43.03813602
11/10/17 2:56,11,10,2017,700,-76.13068259,43.04205641
11/10/17 20:39,11,10,2017,700,-76.12947923,43.03813602
11/10/17 22:44,11,10,2017,700,-76.12891084,43.04089125
11/10/17 23:03,11,10,2017,700,-76.13068259,43.04205641
11/11/17 1:39,11,11,2017,700,-76.12417891,43.0367241
11/11/17 2:04,11,11,2017,700,-76.12887011,43.04007454
11/11/17 13:56,11,11,2017,700,-76.12954496,43.03714544
11/11/17 16:54,11,11,2017,700,-76.12947923,43.03813602
11/11/17 20:29,11,11,2017,400,-76.12446997,43.03557671
11/11/17 23:02,11,11,2017,700,-76.13068259,43.04205641
11/12/17 4:26,11,12,2017,700,-76.12909989,43.03674417
11/12/17 5:43,11,12,2017,700,-76.13068259,43.04205641
11/12/17 7:49,11,12,2017,400,-76.11612723,43.0347154
