incident_date,incident_month,incident_day,incident_year,incidentCategory,X,Y
6/6/08 17:13,06,06,2008,700,-76.12891088,43.04089123
6/8/08 11:27,06,08,2008,700,-76.13068259,43.04205638
6/8/08 20:20,06,08,2008,500,-76.11855548,43.03355607
6/9/08 8:29,06,09,2008,700,-76.11267901,43.03539691
6/9/08 11:49,06,09,2008,700,-76.13055222,43.03775241
6/9/08 12:50,06,09,2008,700,-76.13055222,43.03775241
6/9/08 16:17,06,09,2008,400,-76.12729725,43.0380272
6/9/08 16:22,06,09,2008,400,-76.12836488,43.03837085
6/12/08 2:01,06,12,2008,700,-76.11499607,43.03477531
6/12/08 10:45,06,12,2008,700,-76.12995819,43.03784403
6/12/08 17:25,06,12,2008,700,-76.11549046,43.04167964
6/18/08 15:49,06,18,2008,700,-76.12993551,43.03759656
6/21/08 3:52,06,21,2008,600,-76.12706991,43.03795462
6/24/08 12:32,06,24,2008,700,-76.11817561,43.03644943
6/26/08 0:37,06,26,2008,600,-76.11546935,43.04168059
6/26/08 13:58,06,26,2008,700,-76.13029113,43.04153546
6/27/08 2:20,06,27,2008,400,-76.13018971,43.0404751
6/28/08 8:05,06,28,2008,700,-76.13005634,43.03891634
6/28/08 12:21,06,28,2008,700,-76.13005634,43.03891634
6/30/08 7:55,06,30,2008,400,-76.11851812,43.03972552
7/1/08 12:08,07,01,2008,600,-76.12904008,43.03672358
7/2/08 10:56,07,02,2008,600,-76.12086347,43.04151684
7/7/08 5:28,07,07,2008,700,-76.13006411,43.03469547
7/8/08 2:40,07,08,2008,700,-76.11817561,43.03644943
7/9/08 9:02,07,09,2008,400,-76.12439403,43.03655276
7/13/08 20:35,07,13,2008,700,-76.13055222,43.03775241
7/14/08 0:25,07,14,2008,100,-76.11419821,43.04048186
7/14/08 9:59,07,14,2008,700,-76.12887011,43.04007454
7/14/08 14:30,07,14,2008,700,-76.12904008,43.03672358
7/14/08 19:51,07,14,2008,700,-76.12669039,43.03409165
7/15/08 3:08,07,15,2008,700,-76.13055222,43.03775241
7/15/08 8:08,07,15,2008,700,-76.13055222,43.03775241
7/17/08 1:20,07,17,2008,700,-76.13055222,43.03775241
7/19/08 11:27,07,19,2008,600,-76.12020798,43.03565379
7/19/08 22:50,07,19,2008,600,-76.12830173,43.0376939
7/24/08 0:31,07,24,2008,700,-76.13055222,43.03775241
7/27/08 12:29,07,27,2008,900,-76.114075,43.03898327
7/28/08 11:49,07,28,2008,700,-76.13055222,43.03775241
8/2/08 7:27,08,02,2008,700,-76.11147426,43.03598894
8/3/08 8:15,08,03,2008,700,-76.12990532,43.03726663
8/3/08 8:17,08,03,2008,700,-76.13005634,43.03891634
8/5/08 15:53,08,05,2008,100,-76.12887011,43.04007454
8/5/08 17:35,08,05,2008,600,-76.12459855,43.03870777
8/6/08 20:17,08,06,2008,700,-76.12891088,43.04089123
8/6/08 21:56,08,06,2008,600,-76.12111509,43.04176903
8/7/08 0:44,08,07,2008,700,-76.12891088,43.04089123
8/7/08 4:35,08,07,2008,100,-76.13068259,43.04205638
8/7/08 16:22,08,07,2008,400,-76.12219988,43.0408345
8/9/08 2:33,08,09,2008,700,-76.13052837,43.04088935
8/11/08 18:04,08,11,2008,700,-76.12020798,43.03565379
8/13/08 19:55,08,13,2008,700,-76.12805013,43.03479114
8/17/08 3:28,08,17,2008,600,-76.11915723,43.03701337
8/20/08 6:01,08,20,2008,400,-76.11613319,43.03280587
8/20/08 21:29,08,20,2008,100,-76.12890305,43.03586864
8/21/08 1:16,08,21,2008,700,-76.13068259,43.04205638
8/21/08 12:15,08,21,2008,700,-76.12891088,43.04089123
8/22/08 5:27,08,22,2008,100,-76.11964984,43.04088917
8/22/08 5:35,08,22,2008,100,-76.1191679,43.04184549
8/25/08 3:56,08,25,2008,700,-76.13052837,43.04088935
8/25/08 8:25,08,25,2008,500,-76.11770343,43.03653693
8/26/08 0:57,08,26,2008,400,-76.12047254,43.03847994
8/26/08 10:15,08,26,2008,600,-76.1229545,43.03428353
8/27/08 23:49,08,27,2008,600,-76.12190879,43.0375735
8/28/08 21:24,08,28,2008,700,-76.12990532,43.03726663
8/29/08 23:58,08,29,2008,700,-76.12995819,43.03784403
8/31/08 19:25,08,31,2008,700,-76.12891088,43.04089123
8/31/08 20:21,08,31,2008,700,-76.12891088,43.04089123
9/1/08 3:50,09,01,2008,700,-76.12891088,43.04089123
9/1/08 6:35,09,01,2008,700,-76.13055222,43.03775241
9/1/08 21:31,09,01,2008,600,-76.1191679,43.04184549
9/1/08 22:58,09,01,2008,700,-76.12705741,43.03245805
9/3/08 23:05,09,03,2008,700,-76.12887011,43.04007454
9/4/08 11:30,09,04,2008,700,-76.12891088,43.04089123
9/5/08 10:17,09,05,2008,700,-76.13055222,43.03775241
9/5/08 19:06,09,05,2008,600,-76.11264822,43.03495763
9/5/08 20:37,09,05,2008,700,-76.12990532,43.03726663
9/10/08 3:01,09,10,2008,400,-76.12669039,43.03409167
9/10/08 22:45,09,10,2008,700,-76.12999593,43.03825646
9/11/08 0:43,09,11,2008,400,-76.13055222,43.03775241
9/13/08 10:28,09,13,2008,700,-76.11878556,43.03487831
9/13/08 20:43,09,13,2008,100,-76.12887011,43.04007454
9/14/08 1:10,09,14,2008,400,-76.12421358,43.03455694
9/15/08 17:15,09,15,2008,700,-76.13055222,43.03775241
9/15/08 20:22,09,15,2008,100,-76.11851667,43.03178591
9/16/08 17:03,09,16,2008,100,-76.12722649,43.03803054
9/16/08 19:50,09,16,2008,100,-76.12032655,43.03673854
9/18/08 7:22,09,18,2008,700,-76.13055222,43.03775241
9/18/08 23:01,09,18,2008,100,-76.12138119,43.03759766
9/19/08 2:03,09,19,2008,700,-76.12887011,43.04007454
9/19/08 12:39,09,19,2008,500,-76.11376973,43.03440717
9/19/08 21:01,09,19,2008,700,-76.12887011,43.04007454
9/20/08 14:00,09,20,2008,500,-76.12999801,43.03934971
9/20/08 14:12,09,20,2008,700,-76.12891088,43.04089123
9/21/08 16:52,09,21,2008,700,-76.12300518,43.03483914
9/23/08 16:02,09,23,2008,700,-76.12990532,43.03726663
9/24/08 11:40,09,24,2008,700,-76.12891088,43.04089123
9/25/08 18:15,09,25,2008,400,-76.12237581,43.03663577
9/26/08 20:45,09,26,2008,700,-76.12891088,43.04089123
9/27/08 0:34,09,27,2008,700,-76.12999593,43.03825646
9/28/08 9:36,09,28,2008,700,-76.13006389,43.03899882
9/28/08 18:29,09,28,2008,700,-76.12010583,43.03451023
9/29/08 20:16,09,29,2008,100,-76.12887011,43.04007454
9/29/08 22:09,09,29,2008,700,-76.12891088,43.04089123
9/29/08 23:23,09,29,2008,700,-76.12887011,43.04007454
10/1/08 13:12,10,01,2008,100,-76.12904008,43.03672358
10/3/08 11:12,10,03,2008,700,-76.12990532,43.03726663
10/3/08 14:40,10,03,2008,100,-76.12411122,43.03343681
10/3/08 21:28,10,03,2008,700,-76.1298356,43.03625549
10/4/08 21:22,10,04,2008,700,-76.12999593,43.03825646
10/4/08 21:51,10,04,2008,700,-76.12887011,43.04007454
10/5/08 0:45,10,05,2008,700,-76.12999593,43.03825646
10/5/08 4:17,10,05,2008,700,-76.12999801,43.03934971
10/5/08 14:32,10,05,2008,700,-76.12907357,43.03227378
10/7/08 17:45,10,07,2008,700,-76.13068259,43.04205638
10/8/08 21:38,10,08,2008,700,-76.12891088,43.04089123
10/9/08 0:20,10,09,2008,700,-76.12999801,43.03934971
10/9/08 3:05,10,09,2008,700,-76.12999801,43.03934971
10/9/08 23:57,10,09,2008,600,-76.12980507,43.0362566
10/11/08 11:01,10,11,2008,700,-76.12020798,43.03565379
10/11/08 15:32,10,11,2008,700,-76.13055222,43.03775241
10/11/08 16:49,10,11,2008,700,-76.12417654,43.03414689
